field_season	date_collected	plot	sex	weight_g	species	notes
2013	2013-07-16	2	F	NA	DM	
2013	2013-07-16	7	M	33	DM	
2013	2013-07-16	3	M	NA	DM	
2013	2013-07-16	1	M	NA	DM	
2013	2013-07-18	3	M	40	DM	
2013	2013-07-18	7	M	48	DM	
2013	2013-07-18	4	F	29	DM	
2013	2013-07-18	6	F	37	DM	
2013	2013-08-19	8	F	52	DO	
2013	2013-10-17	3	F	33	DO	
2013	2013-10-17	3	F	50	DO	
2013	2013-12-10	9	F	40	DO	
2013	2013-12-10	1	M	45	DO	
2013	2013-12-11	8	F	41	DO	
2013	2013-11-12	9	F	117	DS	
2013	2013-11-13	11	F	126	DS	
2013	2013-11-13	17	M	132	DS	 scale not calibrated
2013	2013-11-13	14	F	113	DS	 scale not calibrated
2013	2013-11-13	11	F	122	DS	
2013	2013-11-13	4	F	107	DS	
2013	2013-11-13	4	F	115	DS	
2014	2014-01-09	1	M	40	DM	
2014	2014-01-09	1	F	36	DM	
2014	2014-03-13	1	F	51	DM	
2014	2014-03-13	1	F	44	DM	
2014	2014-03-13	1	F	146	DS	
2014	2014-01-08	2	NA	NA	NA	
2014	2014-01-08	2	M	44	DM	
2014	2014-01-08	2	F	7	PF	
2014	2014-01-08	2	M	45	DM	
2014	2014-01-08	2	NA	NA	OT	
2014	2014-01-08	2	M	157	DS	greyed out
2014	2014-01-08	2	NA	NA	OX	
2014	2014-02-18	2	M	218	NA	greyed out
2014	2014-02-18	2	F	7	PF	
2014	2014-02-18	2	M	52	DM	
2014	2015-03-11	3	M	8	PF	
2014	2015-04-08	3	F	NA	NA	
2014	2015-05-06	3	NA	NA	NA	
2014	2015-05-18	3	F	182	NA	
2014	2015-06-09	3	F	29	OT	
2014	2015-07-08	3	F	115	NA	
2014	2015-07-08	3	M	190	NA	
